key,input,activity10
YNDIAUKFXKEXSV-NSCUHMNNSA-N,FCCOCCOCCOc1ncc(cc1)\C=C\c1ccc(NC)cc1,0.641914191419142
NCWZOASIUQVOFA-NSCUHMNNSA-N,FCCOCCOCCOc1ccc(cc1)\C=C\c1ccc(NC)cc1,0.7995049504950495
CADNYOZXMIKYPR-UHFFFAOYSA-B,[Fe+3].[Fe+3].[Fe+3].[Fe+3].P(OP(=O)([O-])[O-])(=O)([O-])[O-].P(OP(=O)([O-])[O-])(=O)([O-])[O-].P(OP(=O)([O-])[O-])(=O)([O-])[O-],
FWZTTZUKDVJDCM-CEJAUHOTSA-M,[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Na+].[Na+].O.O.O.O1[C@](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)(CO)[C@@H](O)[C@H](O)[C@H]1CO.[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[OH-],
AUFUWRKPQLGTGF-FMKGYKFTSA-N,O1[C@H](COC(=O)C)[C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1N1C=CC(=O)NC1=O,0.11526402640264026
RWIVSVMMGFFZIJ-VWDRLOGHSA-N,P(O)(O)(O)=O.P(O)(O)(O)=O.FC(F)(F)Oc1ccc(cc1)-c1cccc(C(O)=Nc2ccc(nc2)N2C[C@H](O[C@H](C2)C)C)c1C,0.5247524752475248
IZTQOLKUZKXIRV-YRVFCXMDSA-N,S(CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CC(O)=O)Cc1ccc(OS(O)(=O)=O)cc1)C(=O)NCC(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N)C,0.5247524752475248
IGLHHEWLHQOTJM-UHFFFAOYSA-N,[Tc].P(O)(O)(=O)CP(O)(O)=O,0.06254125412541253
JLJSYHOPCNWUNE-UHFFFAOYSA-N,[Tc].Brc1c(C)c(NC(=O)CN(CC(O)=O)CC(O)=O)c(cc1C)C,0.11988448844884488
NLUFDZBOHMOBOE-UHFFFAOYSA-M,S(=O)(=O)([O-])c1ccc(S(=O)(=O)[O-])cc1C(c1ccc(N(CC)CC)cc1)=C1C=CC(=[N+](CC)CC)C=C1.[Na+],0.5804455445544554
UUMLTINZBQPNGF-UHFFFAOYSA-N,Ic1c(C(=O)NCC(O)CO)c(I)c(N(C(=O)C)CC(O)CO)c(I)c1C(=O)NCCO,0.12747524752475248
AMDBBAQNWSUWGN-UHFFFAOYSA-N,Ic1c(C(=O)NCC(O)CO)c(I)c(N(C(=O)CO)CCO)c(I)c1C(=O)NCC(O)CO,0.20668316831683167
UXIGWFXRQKWHHA-UHFFFAOYSA-N,Ic1c(C(=O)NC)c(I)c(NC(=O)C)c(I)c1C(O)=O,0.08044554455445545
GFSTXYOTEVLASN-UHFFFAOYSA-K,[Gd+3].OC(=O)CN1CCN(CCN(CCN(CC1)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-],0.08003300330033002
ORTQZVOHEJQUHG-UHFFFAOYSA-L,[Cu](Cl)Cl,
QSWDMMVNRMROPK-UHFFFAOYSA-K,[Cr+3].[Cl-].[Cl-].[Cl-],
